TermAndYearTaken,Year,DRNO,TIMEOCC,LOCATION
Central,BURGLARY FROM VEHICLE,140101169,2200,              9TH                          ST
Central,BATTERY - SIMPLE ASSAULT,140119668,150,              7TH                          ST
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140119674,430,  200      E  6TH                          ST
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140119681,200,  300      S  ALAMEDA                      ST
Central,"THEFT, PERSON",140119684,430,              7TH                          ST
Central,BATTERY - SIMPLE ASSAULT,140119687,950,              17TH                         ST
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140119688,1010,  800      S  MAIN                         ST
Central,TRAFFIC DR #,140119694,950,              HOPE                         ST
Central,COUNTERFEIT,140119695,1420, 1000         MAPLE                        AV
Central,ROBBERY,140119696,1120,  400      S  BROADWAY
Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),140119697,1245,  600      E  9TH                          ST
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140119698,1200,  300      S  MAIN                         ST
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,140119699,1200,  300      S  MAIN                         ST
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140119708,1815,  500      E  6TH                          ST
Central,BURGLARY FROM VEHICLE,140119709,1545,  800      W  OLYMPIC                      BL
Central,ROBBERY,140119710,1800,  600      S  SAN PEDRO                    ST
Central,THEFT PLAIN - PETTY ($950 & UNDER),140119711,1300,  200         WINSTON                      ST
Central,THEFT PLAIN - PETTY ($950 & UNDER),140119712,830,  100      S  LOS ANGELES                  ST
Central,THEFT PLAIN - PETTY ($950 & UNDER),140119713,1255, 1400      S  GRAND                        AV
Central,ROBBERY,140119715,2015,  200      W  6TH                          ST
Central,BATTERY - SIMPLE ASSAULT,140119721,2015,              HILL
Central,BATTERY - SIMPLE ASSAULT,140119726,1815,              7TH
Central,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140119736,1745,  200      W  6TH                          ST
Central,BATTERY - SIMPLE ASSAULT,140119738,1815,  600      W  9TH                          ST
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140119739,1630,  600      S  SAN PEDRO                    ST
Central,BURGLARY,140119745,2240,Invest Cont
Central,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140119748,1335,  800      S  FIGUEROA                     ST
Central,TRAFFIC DR #,140119749,1100,              MAIN
Central,BURGLARY,140119782,1530,  300      W  2ND                          ST
Rampart,BURGLARY,140200732,30,  700         MALTMAN                      AV
Rampart,TRAFFIC DR #,140216309,430,              3RD                          ST
Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,140216311,45, 1000         HELIOTROPE                   DR
Rampart,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140216312,530, 1100      S  WESTLAKE                     AV
Rampart,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140216313,500, 1900      W  3RD                          ST
Rampart,TRAFFIC DR #,140216317,820,              WESTLAKE
Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140216318,130,              6TH
Rampart,BATTERY - SIMPLE ASSAULT,140216320,1230, 1000         HYPERION                     AV
Rampart,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",140216325,5, 2700         GLASSELL                     ST
Rampart,ROBBERY,140216326,315,              6TH                          ST
Rampart,TRAFFIC DR #,140216331,1800,              MIRAMAR                      ST
Rampart,TRAFFIC DR #,140216332,2100,              BEVERLY
Rampart,TRAFFIC DR #,140216333,2210,              MARION                       AV
Rampart,BATTERY WITH SEXUAL CONTACT,140216335,1000,  400         WITMER                       ST
Rampart,TRAFFIC DR #,140216341,2115,              JAMES M WOOD
Rampart,TRAFFIC DR #,140216344,610,              VIRGIL
Rampart,TRAFFIC DR #,140216345,2225,              SANTA MONICA                 BL
Rampart,TRAFFIC DR #,140216346,2100,              BEVERLY                      BL
Rampart,BATTERY - SIMPLE ASSAULT,140216347,1830,  200      N  BOYLSTON                     ST
Rampart,ROBBERY,140216351,2200,              CONNECTICUT                  ST
Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140216355,2130, 2700         BEVERLY                      BL
Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,140216356,1210,  600         IMOGEN                       AV
Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140216361,1720, 1400      S  BONNIE BRAE                  ST
Rampart,VEHICLE - STOLEN,140216363,2100, 1000         GRAND VIEW                   ST
Rampart,VIOLATION OF COURT ORDER,140216371,1830,  500      S  RAMPART                      BL
Rampart,TRAFFIC DR #,140216373,2100,              HARTFORD
Rampart,VEHICLE - STOLEN,140216374,2230,  800         GREEN                        AV
Rampart,VEHICLE - STOLEN,140216381,1,  700      S  BIXEL                        ST
Rampart,BURGLARY FROM VEHICLE,140216383,2300,  800         SAYRE                        LN
Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140216388,1830,              MIDDLEBURY
Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140216389,1530,  200      N  BURLINGTON                   AV
Rampart,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140216393,1900,  400         WITMER                       ST
Rampart,BURGLARY FROM VEHICLE,140216400,2000, 1400         ALVARADO                     TR
Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140216413,2100,  400      S  BONNIE BRAE                  ST
Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140216419,2300, 1100      S  WESTLAKE                     AV
Rampart,BIKE - STOLEN,140216421,600,  400      N  HOOVER                       ST
Southwest,ROBBERY,140301000,225,           S  VERMONT                      AV
Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140301004,830,              MONTCLAIR                    ST
Southwest,VEHICLE - STOLEN,140318155,100, 2900         9TH                          AV
Southwest,OTHER MISCELLANEOUS CRIME,140318162,100,              ADAMS
Southwest,TRAFFIC DR #,140318171,1630,              MARTIN LUTHER KING JR        BL
Southwest,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140318173,1115, 2800         VINEYARD                     AV
Southwest,THEFT PLAIN - PETTY ($950 & UNDER),140318175,1410, 4000         CRENSHAW                     BL
Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140318179,2055, 1200      W  37TH                         PL
Southwest,ROBBERY,140318180,1400, 2300      W  23RD                         ST
Southwest,BURGLARY,140318181,30, 2600         HILLCREST                    DR
Southwest,BURGLARY,140318182,200, 2600         HILLCREST                    DR
Southwest,"THEFT, PERSON",140318188,630,              CRENSHAW
Southwest,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140318189,2215, 4200      S  WESTERN                      AV
Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140318190,829, 4200         MONTCLAIR                    ST
Southwest,BATTERY - SIMPLE ASSAULT,140318191,930, 4200      S  VAN NESS                     AV
Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140318193,300, 4700         RODEO                        LN
Southwest,BATTERY - SIMPLE ASSAULT,140318202,2000, 3400         ALSACE                       AV
Southwest,BATTERY - SIMPLE ASSAULT,140318203,1300,              BROWNING
Southwest,BATTERY - SIMPLE ASSAULT,140318204,500, 2200      W  36TH                         ST
Southwest,BRANDISH WEAPON,140318205,2320,  600      W  35TH                         PL
Southwest,TRAFFIC DR #,140318211,1800,              VERMONT                      AV
Southwest,TRAFFIC DR #,140318213,1620,              JEFFERSON
Southwest,TRAFFIC DR #,140318216,1810,              WESTERN
Southwest,TRAFFIC DR #,140318217,1735,              ADAMS
Southwest,BURGLARY FROM VEHICLE,140318219,1330,              41ST                         ST
Southwest,TRAFFIC DR #,140318220,1500,              FLOWER
Southwest,TRAFFIC DR #,140318221,1915,              24TH
Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140318227,1700, 3400         CHESAPEAKE                   AV
Southwest,BURGLARY FROM VEHICLE,140318243,1920, 3600      W  MARTIN LUTHER KING JR        BL
