State,In State Born,Out of US,Midwest States,South States,Northeast States,West States
AL,2814163,160809,310504,552339,259034,450818
AK,267126,56755,52083,85640,42153,74257
AZ,2142290,768251,515910,828669,362642,601943
AR,1493392,122410,202070,343207,157204,264160
CA,17953193,9139808,2704659,4499890,2159981,3853788
CO,1859913,487120,358280,587154,261701,466194
CT,1662785,513952,211637,403658,196918,325110
DE,338132,75141,59319,99496,47414,84464
DC,192839,83390,36352,50439,25225,75569
FL,5450596,3482325,1140516,1938695,925060,1607297
GA,4787596,957520,740521,1250460,557860,919876
HI,592991,230608,87207,134025,64011,124834
ID,630584,93917,121746,201192,89702,147606
IL,7588591,1698939,894368,1558919,725973,1311479
IN,3727179,278148,443089,780199,361393,605863
IA,1816181,127901,201321,345409,165883,306398
KS,1436903,170480,202529,342134,155822,293114
KY,2592365,185169,284601,493536,229927,381394
LA,3057681,154820,310716,542341,254916,471275
ME,737398,44691,71459,133656,69752,112682
MD,2377936,743105,371787,651923,316873,543470
MA,3544928,1012837,383568,701752,341713,665879
MI,6698307,608937,625526,1179503,585169,974480
MN,3107515,365590,358471,606802,289371,507289
MS,1848255,51341,220813,371502,174405,305964
MO,3421268,204255,399450,690476,331543,560463
MT,448270,24904,61114,106088,53156,95232
NE,987255,107981,132092,215265,99638,186657
NV,575863,483725,199175,325650,142976,212379
NH,481250,80209,75297,144235,73826,119114
NJ,3991812,1732296,557421,1011656,478505,769321
NM,913882,172431,148323,241326,112801,203097
NY,10636054,4220657,1208495,2141490,1058031,1999120
NC,4688350,727503,652823,1097890,492964,883397
ND,361156,27361,41896,67358,33794,82629
OH,7436305,495754,743750,1340492,646135,1081734
OK,1922552,189104,266547,438926,200562,369916
OR,1511589,328607,243483,424167,199925,338162
PA,7797904,843017,737462,1345341,679201,1203944
RI,514791,135472,60934,111408,56198,114502
SC,2252433,233011,303024,517803,245400,438147
SD,447262,20643,58566,94438,45305,82869
TN,3291110,269764,416334,725948,336312,550612
TX,13331399,3715308,2027307,3277946,1420518,2454721
UT,1543938,224120,268916,413034,167685,329585
VT,278003,26732,32635,62538,33757,61679
VA,3345971,887707,522672,887525,413004,768475
WA,2709714,864803,433119,750274,357782,610378
WV,1070581,30589,105435,189649,91074,157989
WI,3512032,341448,362277,640286,311849,553914
WY,186822,23353,38253,60890,29314,53980
